epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,700.999,1.35574,1.15914,0.02125,0.89076,0.8018,0.89186,0.49394,1.59001,0.76746,0.0513,0.0011684,0.0011684,0.0011684
44,719.196,1.31361,1.08504,0.02149,0.85666,0.78378,0.87043,0.54149,1.41001,0.8038,0.04418,0.0011486,0.0011486,0.0011486
45,732.389,1.27556,1.08371,0.02019,0.84674,0.8018,0.87854,0.52837,1.4871,0.74375,0.04762,0.0011288,0.0011288,0.0011288
46,750.284,1.26892,1.00866,0.02118,0.88283,0.81454,0.88842,0.55529,1.42525,0.71724,0.04501,0.001109,0.001109,0.001109
47,768.491,1.2582,1.03056,0.02125,0.84897,0.75965,0.86847,0.54209,1.39557,0.77387,0.04359,0.0010892,0.0010892,0.0010892
48,786.583,1.26307,1.05205,0.01906,0.86614,0.81532,0.87602,0.55288,1.35565,0.72136,0.0426,0.0010694,0.0010694,0.0010694
49,804.825,1.24402,1.05207,0.02051,0.85226,0.77955,0.88339,0.566,1.32679,0.6885,0.04149,0.0010496,0.0010496,0.0010496
50,823.103,1.23139,1.0449,0.01951,0.88683,0.72973,0.85438,0.53517,1.36719,0.8211,0.04249,0.0010298,0.0010298,0.0010298
51,837.322,1.22853,1.01058,0.02051,0.85973,0.77302,0.87232,0.5519,1.36155,0.7473,0.0428,0.00101,0.00101,0.00101
52,854.096,1.20816,0.95897,0.01972,0.88302,0.79279,0.88331,0.5693,1.32925,0.71274,0.04123,0.0009902,0.0009902,0.0009902
53,872.356,1.20753,0.91104,0.01994,0.83879,0.7969,0.8772,0.54074,1.41291,0.77211,0.04385,0.0009704,0.0009704,0.0009704
54,890.588,1.21573,0.9334,0.02024,0.8665,0.76019,0.88533,0.56776,1.35408,0.6689,0.04189,0.0009506,0.0009506,0.0009506
55,908.899,1.17921,0.89767,0.01869,0.88418,0.83333,0.90042,0.57095,1.34274,0.64345,0.04189,0.0009308,0.0009308,0.0009308
56,927.199,1.19118,0.90106,0.01923,0.88809,0.82432,0.90888,0.59803,1.30487,0.60718,0.04065,0.000911,0.000911,0.000911
57,942.242,1.15143,0.86242,0.01893,0.87699,0.835,0.90166,0.58395,1.32295,0.61781,0.04069,0.0008912,0.0008912,0.0008912
58,957.815,1.16518,0.91812,0.01816,0.87651,0.81081,0.90338,0.56507,1.36425,0.63956,0.04304,0.0008714,0.0008714,0.0008714
59,976.071,1.1606,0.88588,0.01933,0.85692,0.78829,0.88597,0.55973,1.37972,0.70463,0.04298,0.0008516,0.0008516,0.0008516
60,994.341,1.17308,0.88095,0.0187,0.90095,0.82883,0.91737,0.59688,1.34828,0.6294,0.0426,0.0008318,0.0008318,0.0008318
61,1012.6,1.153,0.86056,0.01762,0.8784,0.86937,0.90748,0.5811,1.37143,0.6429,0.04271,0.000812,0.000812,0.000812
62,1030.86,1.12963,0.82109,0.01856,0.93242,0.80791,0.90843,0.563,1.40102,0.65823,0.04353,0.0007922,0.0007922,0.0007922
63,1046.99,1.16832,0.89792,0.01772,0.88918,0.8674,0.91912,0.60024,1.29452,0.56552,0.03947,0.0007724,0.0007724,0.0007724
64,1061.57,1.12225,0.82492,0.01839,0.90453,0.83333,0.91883,0.58787,1.29761,0.61936,0.03963,0.0007526,0.0007526,0.0007526
65,1079.51,1.13271,0.89034,0.01766,0.88018,0.86036,0.90528,0.59184,1.27912,0.63295,0.03979,0.0007328,0.0007328,0.0007328
66,1097.62,1.06312,0.82099,0.01683,0.87522,0.85135,0.92265,0.60837,1.26544,0.61184,0.03861,0.000713,0.000713,0.000713
67,1115.89,1.08895,0.78169,0.01781,0.92629,0.86486,0.92599,0.59008,1.33935,0.59639,0.04119,0.0006932,0.0006932,0.0006932
68,1134.06,1.11022,0.85086,0.01776,0.90409,0.82883,0.90805,0.57314,1.35728,0.60758,0.04173,0.0006734,0.0006734,0.0006734
69,1151.57,1.1012,0.8402,0.01713,0.84126,0.84685,0.89777,0.5672,1.32738,0.68525,0.04159,0.0006536,0.0006536,0.0006536
70,1164.16,1.08707,0.80711,0.0168,0.88059,0.83045,0.90083,0.59716,1.2985,0.64406,0.03967,0.0006338,0.0006338,0.0006338
71,1182.43,1.10816,0.77869,0.01656,0.89298,0.86446,0.91551,0.59657,1.29706,0.59227,0.03977,0.000614,0.000614,0.000614
72,1200.41,1.06636,0.81221,0.01658,0.89092,0.84621,0.9182,0.59305,1.32535,0.60946,0.0406,0.0005942,0.0005942,0.0005942
73,1218.62,1.06662,0.75565,0.01655,0.93166,0.83784,0.91497,0.58951,1.36549,0.54944,0.042,0.0005744,0.0005744,0.0005744
74,1236.63,1.05264,0.77341,0.01636,0.87843,0.84627,0.91064,0.60297,1.25554,0.61344,0.03839,0.0005546,0.0005546,0.0005546
75,1254.85,1.04988,0.76317,0.0164,0.8996,0.84755,0.91839,0.60711,1.2336,0.56793,0.03762,0.0005348,0.0005348,0.0005348
76,1268.83,1.02423,0.74565,0.01581,0.91778,0.84234,0.9234,0.61338,1.26484,0.5481,0.0389,0.000515,0.000515,0.000515
77,1285.81,1.02833,0.734,0.01549,0.90225,0.87838,0.93197,0.60612,1.3038,0.55075,0.04003,0.0004952,0.0004952,0.0004952
78,1303.81,1.01884,0.73316,0.01521,0.93489,0.84078,0.92329,0.60476,1.27867,0.5839,0.03922,0.0004754,0.0004754,0.0004754
79,1322.03,1.00111,0.72147,0.01569,0.90124,0.85135,0.91157,0.59275,1.33241,0.61984,0.04091,0.0004556,0.0004556,0.0004556
80,1340.18,0.99825,0.70164,0.01528,0.93067,0.84651,0.92945,0.60327,1.31427,0.56895,0.03979,0.0004358,0.0004358,0.0004358
81,1358.29,1.00479,0.68347,0.01601,0.94834,0.83333,0.93234,0.60877,1.22912,0.57107,0.03706,0.000416,0.000416,0.000416
82,1373.59,0.97884,0.69053,0.01564,0.91773,0.87387,0.92788,0.61454,1.2613,0.57434,0.03831,0.0003962,0.0003962,0.0003962
83,1391.27,1.01191,0.70629,0.01564,0.89184,0.88288,0.91863,0.59133,1.3132,0.60992,0.04023,0.0003764,0.0003764,0.0003764
84,1409.2,0.97019,0.68082,0.01558,0.9403,0.83333,0.9249,0.60431,1.30907,0.56775,0.04002,0.0003566,0.0003566,0.0003566
85,1427.22,0.99187,0.66103,0.01494,0.92408,0.84685,0.91925,0.60038,1.30869,0.60491,0.04045,0.0003368,0.0003368,0.0003368
86,1445.34,0.95715,0.64456,0.01496,0.92575,0.85586,0.91911,0.60705,1.2713,0.60174,0.0387,0.000317,0.000317,0.000317
87,1463.4,0.9414,0.64995,0.01423,0.91924,0.84685,0.91592,0.6092,1.31129,0.57129,0.03972,0.0002972,0.0002972,0.0002972
88,1478.81,0.97589,0.64221,0.01536,0.93152,0.85784,0.92537,0.61596,1.2892,0.58103,0.03908,0.0002774,0.0002774,0.0002774
89,1494.3,0.99759,0.67949,0.01468,0.89401,0.86036,0.91571,0.59814,1.35098,0.59051,0.04133,0.0002576,0.0002576,0.0002576
90,1512.27,0.97313,0.67013,0.01429,0.92203,0.86937,0.92716,0.61051,1.29097,0.59295,0.03898,0.0002378,0.0002378,0.0002378
91,1530.81,0.91335,0.53834,0.01814,0.89228,0.85817,0.92129,0.60985,1.29013,0.58205,0.03942,0.000218,0.000218,0.000218
92,1549.04,0.95214,0.48649,0.01951,0.94938,0.82432,0.92308,0.62143,1.2711,0.58159,0.03867,0.0001982,0.0001982,0.0001982
93,1567.3,0.88293,0.43463,0.01794,0.90405,0.85135,0.92247,0.59904,1.32979,0.60852,0.04072,0.0001784,0.0001784,0.0001784
94,1583.59,0.88193,0.43716,0.01773,0.91346,0.85584,0.92303,0.60712,1.28257,0.59553,0.03923,0.0001586,0.0001586,0.0001586
95,1597.98,0.82921,0.40274,0.01616,0.88667,0.88105,0.92756,0.61279,1.26818,0.59081,0.03855,0.0001388,0.0001388,0.0001388
96,1616.07,0.8235,0.39835,0.01641,0.88657,0.88015,0.92839,0.61518,1.28364,0.5799,0.03901,0.000119,0.000119,0.000119
97,1634.36,0.8542,0.38358,0.01718,0.88532,0.87838,0.92473,0.61393,1.27389,0.594,0.03877,9.92e-05,9.92e-05,9.92e-05
98,1652.59,0.86244,0.42043,0.01684,0.89007,0.87533,0.92558,0.61614,1.27244,0.58014,0.03867,7.94e-05,7.94e-05,7.94e-05
99,1670.64,0.82408,0.40577,0.01634,0.87083,0.88069,0.92159,0.61597,1.26881,0.58242,0.03849,5.96e-05,5.96e-05,5.96e-05
100,1688.3,0.83384,0.40451,0.0165,0.88477,0.87838,0.92206,0.61347,1.26834,0.58768,0.03841,3.98e-05,3.98e-05,3.98e-05
