epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
27,12225,1.24401,1.78721,1.68686,0.01231,0.97048,0.35931,0.3483,0.28616,0.1407,0.33626,0.31135,0.24398,0.10145,1.82475,1.72278,1.93143,0.04943,0,0.000981765,0.000981765,0.000981765
28,12676.8,1.25055,1.82749,1.65963,0.01247,0.94156,0.35834,0.3299,0.27862,0.13901,0.32792,0.29204,0.23389,0.09944,1.92784,1.79027,2.30154,0.05195,0,0.000980345,0.000980345,0.000980345
29,13128.6,1.24999,1.80346,1.65778,0.01235,0.94647,0.3827,0.34998,0.30366,0.15182,0.35434,0.30255,0.25863,0.11272,1.81331,1.75607,2.05527,0.0471,0,0.000978873,0.000978873,0.000978873
30,13579.4,1.22912,1.80756,1.6574,0.01181,0.92996,0.38468,0.36798,0.30151,0.15138,0.35141,0.32384,0.25917,0.11412,1.81095,1.75674,2.10247,0.04729,0,0.000977349,0.000977349,0.000977349
31,14029.4,1.21586,1.75369,1.63618,0.01185,0.94209,0.3716,0.41319,0.314,0.15627,0.32689,0.36562,0.26366,0.11755,1.80994,1.80521,2.08603,0.04763,0,0.000975773,0.000975773,0.000975773
32,14479.4,1.20015,1.76454,1.61468,0.01185,0.93188,0.39712,0.36825,0.32055,0.16121,0.36889,0.33539,0.2796,0.11886,1.86153,1.73892,2.09575,0.04971,0,0.000974145,0.000974145,0.000974145
33,14929.7,1.22243,1.75848,1.62203,0.01199,0.93124,0.39591,0.34944,0.33215,0.16022,0.36767,0.31251,0.2902,0.12217,1.83261,1.74636,2.11273,0.0485,0,0.000972466,0.000972466,0.000972466
34,15381.5,1.20786,1.77452,1.6189,0.01135,0.91241,0.39531,0.33337,0.32424,0.16336,0.36315,0.29667,0.27354,0.11768,1.83657,1.72577,2.24019,0.04859,0,0.000970736,0.000970736,0.000970736
35,15833.5,1.21218,1.75064,1.60727,0.01143,0.89689,0.41632,0.36961,0.35204,0.17172,0.39358,0.33365,0.31062,0.13441,1.87094,1.7273,1.97518,0.05176,0,0.000968955,0.000968955,0.000968955
36,16286,1.19562,1.75622,1.58583,0.01146,0.88243,0.42007,0.39703,0.34669,0.1814,0.38352,0.35515,0.30377,0.14197,1.73364,1.70763,1.91284,0.04426,0,0.000967122,0.000967122,0.000967122
37,16739.1,1.20132,1.75249,1.57873,0.01158,0.87204,0.40593,0.33231,0.31709,0.16133,0.38256,0.28956,0.27088,0.11778,1.76604,1.70656,2.15422,0.04631,0,0.000965239,0.000965239,0.000965239
38,17190.6,1.17668,1.74436,1.52951,0.01124,0.8616,0.39023,0.34235,0.30107,0.14443,0.36553,0.31029,0.25678,0.10319,1.85022,1.67902,2.1649,0.05151,0,0.000963306,0.000963306,0.000963306
39,17641.6,1.17738,1.73766,1.53442,0.01102,0.8309,0.39173,0.40753,0.35739,0.17285,0.36317,0.36887,0.31013,0.13073,1.82065,1.68452,1.93647,0.04942,0,0.000961322,0.000961322,0.000961322
40,18092.7,1.16778,1.69556,1.52005,0.01112,0.82312,0.24059,0.26009,0.20283,0.09211,0.19655,0.21628,0.15558,0.04657,1.81899,1.73158,2.60537,0.04903,0,0.000959289,0.000959289,0.000959289
41,18544.1,1.16915,1.70242,1.53714,0.01113,0.8393,0.34093,0.33669,0.29316,0.14684,0.31403,0.30228,0.25043,0.10367,1.81521,1.71018,2.07488,0.04956,0,0.000957205,0.000957205,0.000957205
42,18995.7,1.19556,1.71769,1.53081,0.01148,0.82631,0.36305,0.3256,0.27462,0.12469,0.31983,0.2807,0.22924,0.0848,1.9584,1.70749,2.18851,0.05689,0,0.000955072,0.000955072,0.000955072
43,19447.8,1.18747,1.70446,1.53204,0.01131,0.81304,0.44302,0.39261,0.36748,0.18737,0.40766,0.34628,0.31365,0.14074,1.79489,1.69262,1.9631,0.04826,0,0.000952889,0.000952889,0.000952889
44,19899.1,1.17508,1.6837,1.51381,0.01121,0.79085,0.43297,0.34721,0.3246,0.145,0.39678,0.29932,0.27375,0.09922,1.95563,1.66841,2.22745,0.05648,0,0.000950658,0.000950658,0.000950658
45,20351.5,1.17048,1.68787,1.51293,0.01112,0.81844,0.367,0.31404,0.27263,0.12822,0.32733,0.2708,0.22084,0.08238,1.85797,1.68061,2.09342,0.05252,0,0.000948377,0.000948377,0.000948377
46,20802,1.17006,1.703,1.51767,0.0111,0.82976,0.3159,0.32083,0.23777,0.11891,0.29242,0.27956,0.19382,0.07509,1.73207,1.72397,2.13612,0.04511,0,0.000946048,0.000946048,0.000946048
47,21254.7,1.16657,1.6932,1.49684,0.01084,0.8099,0.39203,0.34757,0.27367,0.13517,0.35354,0.30812,0.2238,0.08898,1.76873,1.67087,2.17097,0.04808,0,0.000943671,0.000943671,0.000943671
48,21705.4,1.14598,1.68762,1.49478,0.01093,0.81494,0.3801,0.34973,0.30765,0.16309,0.35125,0.31005,0.26268,0.1175,1.73419,1.68556,2.0368,0.04575,0,0.000941245,0.000941245,0.000941245
49,22156.5,1.14854,1.67525,1.48554,0.01059,0.78919,0.39787,0.36927,0.2773,0.13905,0.35099,0.33035,0.22606,0.09058,1.70229,1.76901,2.25853,0.04335,0,0.000938772,0.000938772,0.000938772
50,22609.3,1.15105,1.68816,1.48308,0.01072,0.79899,0.39157,0.37228,0.32375,0.16421,0.35797,0.33222,0.27096,0.11572,1.77754,1.65694,2.01791,0.0476,0,0.000936251,0.000936251,0.000936251
51,23061.2,1.15447,1.66349,1.45535,0.01093,0.7816,0.41364,0.41122,0.35422,0.17477,0.36866,0.36541,0.29883,0.1276,1.78351,1.68152,1.87112,0.04813,0,0.000933683,0.000933683,0.000933683
52,23514.8,1.1648,1.67355,1.4826,0.01093,0.77302,0.44528,0.434,0.39108,0.19019,0.40522,0.39772,0.34515,0.14221,1.76189,1.64227,1.83486,0.04833,0,0.000931067,0.000931067,0.000931067
53,23965.9,1.13932,1.65404,1.46596,0.01081,0.79098,0.38281,0.37884,0.33438,0.16944,0.3525,0.33669,0.28404,0.12297,1.80132,1.6383,1.98112,0.04888,0,0.000928405,0.000928405,0.000928405
54,24416.3,1.1308,1.66639,1.43197,0.01038,0.75698,0.431,0.33473,0.30756,0.1583,0.39248,0.29518,0.25891,0.10786,1.65744,1.67765,2.16379,0.04238,0,0.000925697,0.000925697,0.000925697
55,24868,1.14367,1.64916,1.4553,0.01054,0.77056,0.38516,0.36697,0.34532,0.18287,0.35613,0.32551,0.29803,0.13512,1.74911,1.64855,1.99943,0.04768,0,0.000922942,0.000922942,0.000922942
56,25322,1.13787,1.63883,1.45506,0.01058,0.76891,0.42586,0.33253,0.28949,0.14793,0.39195,0.29294,0.24076,0.09947,1.73878,1.64855,2.20411,0.0469,0,0.000920142,0.000920142,0.000920142
57,25773.4,1.12445,1.62013,1.43967,0.01031,0.76447,0.35321,0.34536,0.31166,0.15681,0.33096,0.30557,0.26455,0.10887,1.76893,1.71749,2.0439,0.0479,0,0.000917296,0.000917296,0.000917296
58,26224,1.12668,1.64743,1.42814,0.01027,0.7587,0.35368,0.34944,0.32449,0.1647,0.32419,0.31163,0.28003,0.11623,1.74318,1.63627,2.02161,0.04731,0,0.000914405,0.000914405,0.000914405
59,26676.9,1.12818,1.63915,1.43154,0.01047,0.74843,0.41514,0.33547,0.284,0.14459,0.37536,0.29287,0.23639,0.09637,1.77289,1.64082,2.11839,0.04867,0,0.000911469,0.000911469,0.000911469
60,27128.5,1.12185,1.63278,1.4099,0.01045,0.74298,0.385,0.42789,0.33647,0.17369,0.35181,0.39084,0.29074,0.12858,1.75206,1.63523,1.89304,0.04739,0,0.000908488,0.000908488,0.000908488
61,27581.1,1.12733,1.6475,1.40958,0.01032,0.73369,0.37282,0.37843,0.33602,0.17515,0.34389,0.34305,0.28956,0.1261,1.79243,1.65248,1.9205,0.04894,0,0.000905463,0.000905463,0.000905463
62,28033.2,1.09783,1.60026,1.39898,0.01001,0.73591,0.42703,0.3753,0.32974,0.17028,0.39841,0.34006,0.28353,0.12015,1.75297,1.62312,1.91034,0.04737,0,0.000902395,0.000902395,0.000902395
63,28484.2,1.12108,1.60447,1.40388,0.0103,0.72333,0.40811,0.40824,0.35418,0.1889,0.37331,0.36896,0.30927,0.13766,1.71639,1.63652,1.78527,0.04562,0,0.000899282,0.000899282,0.000899282
64,28936.9,1.11377,1.606,1.40956,0.0099,0.74353,0.44672,0.40551,0.37368,0.20234,0.418,0.36819,0.32792,0.15193,1.74695,1.61551,1.73316,0.04724,0,0.000896127,0.000896127,0.000896127
65,29388.7,1.11357,1.6132,1.4057,0.0105,0.72605,0.36789,0.37931,0.3279,0.16552,0.33437,0.33869,0.28058,0.11728,1.75745,1.63988,1.88113,0.04783,0,0.000892928,0.000892928,0.000892928
66,29841.2,1.11084,1.62363,1.4062,0.00999,0.75902,0.36848,0.38935,0.32059,0.17515,0.33628,0.35322,0.27858,0.13013,1.70258,1.62446,1.80002,0.04476,0,0.000889687,0.000889687,0.000889687
67,30293,1.11367,1.60871,1.40399,0.01004,0.72399,0.4348,0.38927,0.3439,0.1839,0.39791,0.34643,0.29441,0.13726,1.69846,1.63415,1.83026,0.04556,0,0.000886404,0.000886404,0.000886404
68,30744.9,1.10703,1.61429,1.39982,0.00992,0.72462,0.40556,0.42229,0.34823,0.17629,0.36477,0.3763,0.29561,0.12475,1.75075,1.63091,1.72665,0.04756,0,0.000883079,0.000883079,0.000883079
69,31197.8,1.08399,1.60471,1.37194,0.00973,0.72409,0.42359,0.38407,0.33928,0.17999,0.38232,0.34575,0.28875,0.12646,1.74993,1.65357,1.78818,0.04762,0,0.000879713,0.000879713,0.000879713
70,31649,1.09291,1.60754,1.37133,0.00988,0.71521,0.39791,0.39723,0.35934,0.18817,0.36102,0.35379,0.31435,0.13879,1.73158,1.63669,1.85726,0.04664,0,0.000876305,0.000876305,0.000876305
71,32100.6,1.09173,1.56701,1.36413,0.00972,0.70855,0.41545,0.3939,0.35705,0.19352,0.37728,0.35703,0.31055,0.14415,1.67981,1.64623,1.74899,0.04406,0,0.000872857,0.000872857,0.000872857
72,32552.7,1.10281,1.60988,1.39299,0.00995,0.71725,0.40357,0.3323,0.30872,0.16832,0.36593,0.28979,0.25607,0.11523,1.6603,1.62903,1.95433,0.04311,0,0.000869368,0.000869368,0.000869368
73,33005,1.09303,1.62102,1.3656,0.00974,0.71587,0.36614,0.34492,0.30792,0.15533,0.33436,0.29892,0.26004,0.1019,1.74611,1.635,1.95849,0.04777,0,0.000865839,0.000865839,0.000865839
74,33458.3,1.0889,1.6027,1.36719,0.00976,0.71467,0.38022,0.33663,0.31181,0.15892,0.34793,0.29624,0.2666,0.10467,1.75769,1.61864,1.98022,0.04876,0,0.000862271,0.000862271,0.000862271
75,33910,1.0996,1.59732,1.3754,0.00977,0.72225,0.39942,0.33627,0.31049,0.15774,0.36803,0.29629,0.25879,0.10062,1.82037,1.62466,2.23631,0.05174,0,0.000858664,0.000858664,0.000858664
76,34360.9,1.06741,1.59061,1.34027,0.00972,0.70161,0.42851,0.38638,0.36363,0.18371,0.3868,0.34383,0.31093,0.12788,1.76765,1.63053,1.87169,0.04905,0,0.000855018,0.000855018,0.000855018
77,34814.1,1.09067,1.58789,1.35785,0.00956,0.70791,0.4315,0.41437,0.3751,0.20167,0.39852,0.37481,0.32925,0.1501,1.70542,1.60976,1.81025,0.04582,0,0.000851333,0.000851333,0.000851333
78,35264.4,1.06507,1.57809,1.34315,0.0095,0.6978,0.40458,0.33422,0.32433,0.16947,0.36698,0.29539,0.27065,0.11314,1.69282,1.60871,2.07547,0.04507,0,0.000847611,0.000847611,0.000847611
79,35716.9,1.0833,1.58204,1.35472,0.00964,0.69401,0.41524,0.34168,0.31147,0.16342,0.38447,0.29891,0.26159,0.10732,1.71749,1.62543,2.20267,0.04627,0,0.000843851,0.000843851,0.000843851
80,36171,1.07652,1.58863,1.3624,0.00971,0.69519,0.41028,0.32669,0.28163,0.1472,0.36939,0.28396,0.2282,0.09253,1.71259,1.61867,2.3724,0.04632,0,0.000840054,0.000840054,0.000840054
81,36623.2,1.05895,1.54965,1.31398,0.00936,0.68316,0.48006,0.34932,0.33697,0.17479,0.45049,0.30879,0.28713,0.11744,1.70106,1.62738,2.16584,0.04567,0,0.00083622,0.00083622,0.00083622
82,37076,1.07617,1.5751,1.34393,0.00954,0.69201,0.47756,0.34121,0.3188,0.17388,0.44721,0.30015,0.27089,0.1199,1.72233,1.64152,2.17559,0.0471,0,0.000832349,0.000832349,0.000832349
83,37530.4,1.07357,1.58926,1.34055,0.00955,0.70551,0.42629,0.31282,0.27933,0.14274,0.39703,0.27554,0.23247,0.08728,1.79339,1.62704,2.54851,0.05073,0,0.000828443,0.000828443,0.000828443
84,37984.8,1.07576,1.58366,1.32105,0.00962,0.68958,0.38375,0.31035,0.29106,0.15031,0.34348,0.2686,0.23882,0.09247,1.77805,1.62671,2.87621,0.05064,0,0.000824502,0.000824502,0.000824502
85,38440.5,1.07355,1.57003,1.32871,0.00947,0.69385,0.45028,0.34201,0.31132,0.16448,0.42256,0.3052,0.26147,0.11042,1.77104,1.63568,2.68783,0.04964,0,0.000820525,0.000820525,0.000820525
86,38894.7,1.06226,1.54871,1.32401,0.00935,0.69551,0.42693,0.36638,0.30243,0.15984,0.39574,0.32508,0.2559,0.11028,1.78289,1.70755,2.67233,0.05008,0,0.000816514,0.000816514,0.000816514
87,39345.6,1.05753,1.53603,1.29198,0.00933,0.66401,0.3969,0.33469,0.28735,0.14851,0.36438,0.29393,0.24006,0.09457,1.70209,1.60402,2.76134,0.04584,0,0.000812468,0.000812468,0.000812468
88,39800,1.07035,1.55546,1.31193,0.00966,0.6794,0.37997,0.31223,0.28818,0.14421,0.35007,0.27421,0.24135,0.09144,1.68347,1.60736,2.68161,0.04551,0,0.000808389,0.000808389,0.000808389
89,40252.5,1.04753,1.51848,1.28963,0.00924,0.66075,0.49881,0.32754,0.28148,0.13721,0.47637,0.27557,0.22606,0.0819,1.68436,1.60362,2.46133,0.04546,0,0.000804277,0.000804277,0.000804277
90,40705.7,1.05338,1.55259,1.29177,0.00945,0.66508,0.46266,0.34403,0.31331,0.15833,0.42837,0.30125,0.25929,0.10274,1.6659,1.60371,2.34174,0.04471,0,0.000800131,0.000800131,0.000800131
91,41156.9,1.04845,1.53459,1.3096,0.00918,0.67404,0.45144,0.36132,0.36974,0.18894,0.41536,0.31566,0.31369,0.13221,1.67253,1.59716,2.07202,0.04511,0,0.000795954,0.000795954,0.000795954
92,41608.3,1.04625,1.52558,1.28587,0.00896,0.65261,0.48142,0.38763,0.37168,0.19567,0.45127,0.34471,0.32024,0.13856,1.68713,1.58914,2.10191,0.04584,0,0.000791744,0.000791744,0.000791744
93,42061.6,1.06159,1.53287,1.28634,0.00935,0.67522,0.4515,0.36407,0.33179,0.16525,0.42871,0.32742,0.27919,0.10926,1.68414,1.59396,2.28916,0.0459,0,0.000787503,0.000787503,0.000787503
94,42514.1,1.05602,1.52742,1.2951,0.00924,0.65839,0.47396,0.34871,0.30875,0.1502,0.44836,0.30529,0.2598,0.09562,1.81031,1.6612,2.90432,0.05213,0,0.000783231,0.000783231,0.000783231
95,42967.4,1.05367,1.52958,1.29961,0.00919,0.67073,0.46684,0.36613,0.32102,0.15494,0.43381,0.3228,0.27064,0.09891,1.71967,1.58513,2.52637,0.04765,0,0.000778929,0.000778929,0.000778929
96,43419.1,1.05098,1.53944,1.29283,0.0091,0.66394,0.44519,0.37248,0.36463,0.18208,0.41386,0.32637,0.31076,0.12495,1.66764,1.57325,2.3636,0.04472,0,0.000774596,0.000774596,0.000774596
97,43872.2,1.03355,1.50613,1.25529,0.00892,0.64682,0.43547,0.38833,0.37073,0.18779,0.39181,0.34567,0.3185,0.13131,1.71754,1.56069,2.02614,0.04759,0,0.000770234,0.000770234,0.000770234
98,44325.3,1.04238,1.52802,1.27916,0.00913,0.65696,0.45573,0.35451,0.33038,0.1706,0.42027,0.31133,0.2788,0.11375,1.71242,1.57824,2.18635,0.04693,0,0.000765843,0.000765843,0.000765843
99,44779.5,1.03479,1.52288,1.28387,0.00905,0.65768,0.49028,0.37369,0.33836,0.16757,0.44566,0.32749,0.28431,0.10953,1.77091,1.56363,2.10287,0.05013,0,0.000761423,0.000761423,0.000761423
100,45231.6,1.03162,1.51583,1.28036,0.00909,0.65694,0.47963,0.3192,0.27659,0.13306,0.44277,0.27568,0.22175,0.07642,1.73852,1.55894,2.58282,0.04856,0,0.000756976,0.000756976,0.000756976
101,45686.3,1.03618,1.50861,1.2708,0.0091,0.63739,0.43895,0.33475,0.27996,0.14056,0.40806,0.28689,0.22364,0.08213,1.8323,1.62619,2.85811,0.05309,0,0.0007525,0.0007525,0.0007525
102,46144.7,1.02701,1.51047,1.26473,0.00878,0.65802,0.36531,0.31512,0.2872,0.14381,0.33441,0.27458,0.23813,0.08764,1.83766,1.61376,2.94337,0.05361,0,0.000747997,0.000747997,0.000747997
103,46607.1,1.03174,1.51872,1.27155,0.00895,0.63911,0.44899,0.36089,0.31912,0.16244,0.42092,0.32285,0.27169,0.10639,1.78167,1.58633,2.54895,0.0505,0,0.000743468,0.000743468,0.000743468
104,47074.1,1.03839,1.51681,1.27652,0.00895,0.64893,0.43414,0.36241,0.29289,0.1489,0.40107,0.31768,0.24349,0.09333,1.69711,1.57501,2.34297,0.04659,0,0.000738913,0.000738913,0.000738913
105,47532.7,1.03124,1.51671,1.24204,0.0093,0.63259,0.45234,0.40437,0.34974,0.18297,0.42124,0.36458,0.30015,0.128,1.65608,1.57296,1.95381,0.04442,0,0.000734332,0.000734332,0.000734332
106,47991.3,1.01449,1.4709,1.23366,0.00878,0.64022,0.452,0.40111,0.36428,0.18979,0.42906,0.36127,0.31931,0.13388,1.65693,1.56869,1.8319,0.04456,0,0.000729725,0.000729725,0.000729725
107,48452.6,1.0217,1.49053,1.2324,0.00896,0.64995,0.4435,0.42696,0.37534,0.18873,0.41287,0.38466,0.32837,0.1328,1.74869,1.57535,1.77909,0.04865,0,0.000725094,0.000725094,0.000725094
108,48913.7,1.02641,1.48872,1.24418,0.00882,0.65672,0.45843,0.42312,0.37199,0.17944,0.42283,0.38165,0.32215,0.12419,1.76425,1.56556,1.87505,0.04924,0,0.000720439,0.000720439,0.000720439
109,49373.5,1.03489,1.50161,1.24215,0.0089,0.64574,0.46284,0.42755,0.38875,0.19822,0.42581,0.38828,0.3398,0.14226,1.71975,1.57977,1.83664,0.04714,0,0.000715761,0.000715761,0.000715761
110,49830.7,1.0102,1.4838,1.21303,0.00882,0.62011,0.43497,0.40454,0.36442,0.18372,0.40458,0.36181,0.3179,0.12844,1.72307,1.56933,1.94473,0.04766,0,0.000711059,0.000711059,0.000711059
111,50287.4,1.00533,1.48722,1.21906,0.0085,0.61387,0.46362,0.40438,0.36608,0.18421,0.42831,0.36666,0.3217,0.13125,1.67429,1.55933,2.02871,0.04546,0,0.000706335,0.000706335,0.000706335
112,50746.5,1.02616,1.49691,1.24074,0.0088,0.62604,0.47589,0.43573,0.39625,0.21503,0.44293,0.39851,0.34693,0.1604,1.62975,1.55485,1.92346,0.04336,0,0.000701588,0.000701588,0.000701588
113,51206.8,1.02503,1.51039,1.24737,0.00879,0.63504,0.46355,0.40724,0.37794,0.19723,0.43045,0.36705,0.32884,0.1409,1.65348,1.55151,1.97431,0.04439,0,0.00069682,0.00069682,0.00069682
114,51664.7,1.00988,1.46709,1.21716,0.00865,0.61661,0.4523,0.4489,0.40861,0.21111,0.41994,0.40831,0.35969,0.15512,1.66005,1.55456,1.81069,0.04485,0,0.000692031,0.000692031,0.000692031
115,52117.8,1.01612,1.48036,1.22056,0.00878,0.6133,0.48744,0.41717,0.40046,0.2071,0.42458,0.38397,0.34879,0.15266,1.67395,1.57462,1.81136,0.0455,0,0.000687222,0.000687222,0.000687222
116,52568.8,1.01008,1.49051,1.22542,0.00881,0.61219,0.47731,0.40914,0.38762,0.20202,0.44132,0.37095,0.33815,0.14909,1.67573,1.56577,1.87502,0.04569,0,0.000682392,0.000682392,0.000682392
117,53022,1.02199,1.49201,1.23804,0.00881,0.62089,0.47005,0.41915,0.39342,0.20993,0.43737,0.37914,0.34627,0.15649,1.68713,1.57716,1.79595,0.04648,0,0.000677543,0.000677543,0.000677543
