epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2212.66,2.08479,4.08484,2.64921,0.00956,2.00001,0.37253,0.32733,0.31101,0.15918,0.35827,0.27868,0.26229,0.12381,2.07601,4.232,2.66133,0.01549,0,0.000915875,0.000915875,0.000915875
29,2258.18,2.05231,4.09672,2.60281,0.00944,1.92451,0.36495,0.35941,0.33208,0.18383,0.32436,0.30769,0.27932,0.13923,2.00403,4.36146,2.66498,0.01427,0,0.0009035,0.0009035,0.0009035
30,2303.66,2.05844,4.09166,2.62838,0.0095,2.00548,0.39679,0.37143,0.33337,0.15625,0.34075,0.31797,0.27626,0.11406,2.04798,4.27659,2.67969,0.0151,0,0.000891125,0.000891125,0.000891125
31,2349.03,2.05077,4.02997,2.6006,0.00963,1.95131,0.36718,0.35358,0.30964,0.12718,0.29964,0.30051,0.25087,0.08356,2.07274,4.22945,2.7141,0.0164,0,0.00087875,0.00087875,0.00087875
32,2394.46,1.98511,4.02214,2.57082,0.00898,1.90658,0.41768,0.37595,0.34283,0.15556,0.3827,0.31696,0.27968,0.11014,2.02499,4.28527,2.66536,0.01523,0,0.000866375,0.000866375,0.000866375
33,2439.91,2.01913,4.04092,2.58495,0.0091,1.99576,0.37022,0.38472,0.33555,0.15224,0.31054,0.32527,0.28122,0.11073,2.00295,4.26088,2.64828,0.01493,0,0.000854,0.000854,0.000854
34,2485.37,2.03849,3.99662,2.55232,0.00936,1.97956,0.40432,0.37183,0.35431,0.17891,0.42958,0.307,0.29198,0.12971,2.06727,4.24469,2.62718,0.0152,0,0.000841625,0.000841625,0.000841625
35,2530.83,2.03016,4.02462,2.55951,0.0092,1.91738,0.41083,0.36927,0.33451,0.1434,0.36093,0.30893,0.27185,0.09813,2.03956,4.19551,2.6438,0.01685,0,0.00082925,0.00082925,0.00082925
36,2576.3,2.02424,3.99267,2.53314,0.00908,1.94354,0.36667,0.3756,0.33232,0.13277,0.33077,0.31939,0.27293,0.08794,2.10272,4.23194,2.68481,0.01712,0,0.000816875,0.000816875,0.000816875
37,2621.75,2.00338,3.96537,2.50505,0.00925,1.9135,0.42413,0.37156,0.36524,0.17314,0.37941,0.31546,0.29451,0.11833,2.06105,4.197,2.52242,0.016,0,0.0008045,0.0008045,0.0008045
38,2667.23,2.01443,3.9611,2.49097,0.009,1.83184,0.41492,0.38571,0.35388,0.17301,0.36322,0.33361,0.29288,0.12895,2.01783,4.15615,2.57114,0.01507,0,0.000792125,0.000792125,0.000792125
39,2712.76,2.00404,3.95298,2.47282,0.00856,1.91276,0.43486,0.36252,0.33944,0.18957,0.41754,0.30057,0.28361,0.14712,2.01072,4.18277,2.611,0.01424,0,0.00077975,0.00077975,0.00077975
40,2758.28,2.01465,3.97359,2.44426,0.0089,1.89726,0.39686,0.38475,0.33724,0.16575,0.33924,0.32179,0.27101,0.11813,2.00742,4.20271,2.62802,0.01486,0,0.000767375,0.000767375,0.000767375
41,2803.75,1.98527,3.88765,2.43092,0.00902,1.82958,0.42666,0.39882,0.35616,0.1846,0.38708,0.34358,0.29296,0.1369,2.01996,nan,nan,0.01438,0,0.000755,0.000755,0.000755
42,2849.24,1.98119,3.89311,2.43047,0.00876,1.84306,0.44422,0.38809,0.36128,0.19096,0.37519,0.33712,0.29247,0.14336,1.97199,4.09914,2.51906,0.01457,0,0.000742625,0.000742625,0.000742625
43,2894.68,1.96688,3.8395,2.38619,0.00888,1.86346,0.43081,0.39301,0.33641,0.18356,0.36733,0.33438,0.27455,0.13678,1.98593,4.13587,2.60322,0.01357,0,0.00073025,0.00073025,0.00073025
44,2940.18,1.97227,3.88207,2.36212,0.00844,1.81733,0.41923,0.4093,0.3524,0.17327,0.38231,0.34948,0.29171,0.12457,2.05365,nan,nan,0.01522,0,0.000717875,0.000717875,0.000717875
45,2985.67,1.96737,3.82348,2.35988,0.00862,1.79689,0.41152,0.36958,0.32579,0.18072,0.37211,0.31761,0.26229,0.13047,1.98414,4.19869,2.58747,0.01332,0,0.0007055,0.0007055,0.0007055
46,3031.16,1.97573,3.84268,2.38717,0.0089,1.84865,0.36426,0.38266,0.33446,0.18306,0.34336,0.31245,0.27235,0.13672,1.99508,4.12809,2.54561,0.014,0,0.000693125,0.000693125,0.000693125
47,3076.64,1.97692,3.81645,2.3598,0.00872,1.8136,0.40657,0.40985,0.36234,0.19445,0.36575,0.33725,0.29821,0.14942,2.03779,4.04515,2.49249,0.01452,0,0.00068075,0.00068075,0.00068075
48,3122.13,1.9598,3.76756,2.33733,0.00877,1.82185,0.42482,0.39628,0.36395,0.18299,0.36565,0.3331,0.29547,0.13675,2.03682,4.07872,2.50784,0.01543,0,0.000668375,0.000668375,0.000668375
49,3167.71,1.94344,3.79605,2.31526,0.00831,1.78656,0.39603,0.41417,0.35683,0.16415,0.33692,0.34449,0.2801,0.11238,2.03458,nan,nan,0.01574,0,0.000656,0.000656,0.000656
50,3213.27,1.95054,3.78195,2.30853,0.00856,1.78968,0.38716,0.41019,0.36947,0.17953,0.33228,0.3531,0.30592,0.13292,2.01795,4.08879,2.45378,0.0155,0,0.000643625,0.000643625,0.000643625
51,3258.72,1.93901,3.76994,2.30883,0.00868,1.74613,0.4503,0.39911,0.37095,0.20061,0.40294,0.34335,0.30897,0.15046,1.9901,4.13459,2.50368,0.01431,0,0.00063125,0.00063125,0.00063125
52,3304.24,1.9439,3.7401,2.2895,0.00843,1.75596,0.41619,0.39275,0.35493,0.1923,0.35602,0.3292,0.28654,0.14185,1.99881,4.13501,2.49617,0.01397,0,0.000618875,0.000618875,0.000618875
53,3349.72,1.94376,3.77907,2.29129,0.00842,1.68268,0.40168,0.39264,0.35729,0.18175,0.35373,0.32946,0.29181,0.13181,1.99743,4.08378,2.51801,0.01445,0,0.0006065,0.0006065,0.0006065
54,3395.23,1.93835,3.72817,2.25972,0.00832,1.68376,0.43067,0.40712,0.37991,0.2151,0.39159,0.3508,0.31288,0.16255,1.98142,4.10986,2.409,0.01414,0,0.000594125,0.000594125,0.000594125
55,3440.76,1.91041,3.71695,2.24162,0.0083,1.73789,0.43176,0.4133,0.36671,0.20182,0.38027,0.35566,0.30299,0.15145,1.99083,4.07789,2.51256,0.01409,0,0.00058175,0.00058175,0.00058175
56,3486.27,1.92646,3.69807,2.21395,0.00836,1.7125,0.405,0.40647,0.36661,0.20543,0.37843,0.34435,0.2976,0.15415,1.95099,4.06892,2.49041,0.01339,0,0.000569375,0.000569375,0.000569375
57,3531.72,1.91399,3.70972,2.22812,0.0084,1.70812,0.4446,0.41077,0.36566,0.20673,0.3871,0.35554,0.29852,0.15572,1.99405,4.0815,2.53347,0.01356,0,0.000557,0.000557,0.000557
58,3577.18,1.91138,3.67508,2.23785,0.00826,1.70431,0.4236,0.41051,0.37649,0.17799,0.37264,0.35049,0.31128,0.12644,2.03125,4.14647,2.50582,0.01574,0,0.000544625,0.000544625,0.000544625
59,3622.64,1.91439,3.68635,2.19792,0.00795,1.62859,0.44714,0.3961,0.36847,0.18349,0.40024,0.33487,0.30579,0.13287,2.03414,4.18824,2.59126,0.01525,0,0.00053225,0.00053225,0.00053225
60,3668.13,1.91686,3.65278,2.1701,0.00808,1.63254,0.42045,0.39175,0.37063,0.19651,0.35694,0.33069,0.30626,0.14422,2.00951,4.13133,2.49378,0.01484,0,0.000519875,0.000519875,0.000519875
61,3713.59,1.9074,3.58417,2.18838,0.00848,1.67477,0.39904,0.41162,0.37302,0.17741,0.32816,0.34999,0.30538,0.12465,2.02257,4.13878,2.5233,0.01549,0,0.0005075,0.0005075,0.0005075
62,3759.08,1.89194,3.62197,2.17551,0.00813,1.67698,0.43741,0.41472,0.37943,0.19872,0.37866,0.35049,0.31095,0.14782,1.99137,4.02445,2.48337,0.01467,0,0.000495125,0.000495125,0.000495125
63,3804.6,1.89816,3.62092,2.12883,0.00797,1.6022,0.44422,0.42374,0.38233,0.21017,0.40195,0.35308,0.32029,0.15679,1.99294,4.0032,2.48361,0.01426,0,0.00048275,0.00048275,0.00048275
64,3850.11,1.90087,3.62473,2.14978,0.00797,1.62556,0.44403,0.41044,0.37965,0.19782,0.394,0.34766,0.314,0.14434,2.0056,4.0589,2.44444,0.01485,0,0.000470375,0.000470375,0.000470375
65,3895.68,1.87352,3.56681,2.08595,0.00776,1.58962,0.42652,0.41025,0.37383,0.19876,0.36298,0.34311,0.29866,0.1452,nan,nan,nan,nan,0,0.000458,0.000458,0.000458
66,3942.27,1.89218,3.58455,2.08768,0.00795,1.59591,0.41473,0.40846,0.3707,0.20482,0.36379,0.34917,0.30718,0.15403,2.00002,nan,nan,0.01416,0,0.000445625,0.000445625,0.000445625
67,3988.97,1.88007,3.59804,2.09229,0.00802,1.60248,0.41567,0.40439,0.37561,0.1844,0.35881,0.34407,0.31128,0.13578,nan,nan,nan,nan,0,0.00043325,0.00043325,0.00043325
68,4036.22,1.86216,3.54355,2.09718,0.00795,1.59853,0.42637,0.40349,0.37122,0.21028,0.37068,0.34246,0.30151,0.15507,nan,nan,nan,nan,0,0.000420875,0.000420875,0.000420875
69,4082.99,1.88015,3.59737,2.084,0.0078,1.55806,0.42964,0.41901,0.37268,0.19166,0.37381,0.35539,0.30392,0.13603,2.02332,4.05408,2.44169,0.01495,0,0.0004085,0.0004085,0.0004085
70,4129.99,1.85533,3.54847,2.06821,0.00787,1.53627,0.44547,0.42005,0.37667,0.1993,0.38181,0.36081,0.31116,0.14999,nan,nan,nan,nan,0,0.000396125,0.000396125,0.000396125
71,4176.59,1.85132,3.54904,2.03353,0.00763,1.53083,0.41622,0.40543,0.37153,0.18903,0.36798,0.33343,0.30773,0.13619,nan,nan,nan,nan,0,0.00038375,0.00038375,0.00038375
72,4225.68,1.84535,3.54643,2.03506,0.00762,1.57173,0.43142,0.40361,0.37144,0.20856,0.38652,0.34526,0.30738,0.15753,nan,nan,nan,nan,0,0.000371375,0.000371375,0.000371375
73,4273.32,1.85707,3.49601,2.00724,0.00765,1.52309,0.4209,0.4199,0.37283,0.20511,0.36024,0.35254,0.30352,0.14912,2.01333,nan,nan,0.01453,0,0.000359,0.000359,0.000359
74,4322.14,1.86156,3.54094,2.05119,0.00755,1.52552,0.43952,0.41613,0.37883,0.21149,0.37387,0.34521,0.30515,0.15451,1.99569,nan,nan,0.01394,0,0.000346625,0.000346625,0.000346625
